State,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2014_unemp,2015_unemp,2016_unemp,2017_unemp,2018_unemp,2018_health,2017_health,2016_health,2015_health,2014_health,2018_edu,2017_edu,2016_edu,2015_edu,2014_edu,2018_crime,2017_crime,2016_crime,2015_crime,2014_crime,2014_total,2015_total,2016_total,2017_total,2018_total,2014_rank,2015_rank,2016_rank,2017_rank,2018_rank,2014,2015,2016,2017,2018
GA,0.1980553759126844,0.19759335417477444,0.19904553973033223,0.19718189548157058,0.19498538405275465,-0.846153846153846,-0.7804878048780487,-0.6250000000000001,-0.5000000000000001,-0.3571428571428572,0.2600000000000004,0.27397260273972585,0.2624113475177298,0.21830985915492912,0.21019108280254775,0.3120204603580563,0.3423180592991914,0.3083333333333333,0.3180592991913746,0.3296089385474861,-0.25635521410010165,-0.26742999659902505,-0.24678091709124592,-0.22613152636608463,-0.248421052631579,-0.3567195015227068,-0.2726568187230552,-0.10199069650985068,0.046042560921462694,0.15350777316785247,42.0,41.0,40.0,39.0,37.0,3,3,3,3,3
HI,0.020025750260414973,0.020078918020294666,0.019969145749907675,0.019679734262472368,0.019219269584051388,-0.3269230769230769,-0.19512195121951223,-0.025000000000000022,-0.0,-0.0,0.9199999999999998,0.9315068493150686,0.9290780141843972,0.9295774647887324,0.9044585987261146,0.16368286445012786,0.1778975741239893,0.1888888888888889,0.17250673854447435,0.16201117318435757,-0.16156366512258502,-0.14805577598911687,-0.10893932376100046,-0.15237598818521414,-0.11763157894736842,0.6419408663004418,0.774665181948775,1.0039967250621933,0.9810283817124134,0.9413384689115941,7.0,7.0,5.0,5.0,7.0,1,1,1,1,1
ID,0.015060475305683465,0.01458647119498702,0.015039026122484726,0.014918658622236987,0.01586061056254153,-0.40384615384615374,-0.34146341463414637,-0.22499999999999998,-0.17391304347826095,-0.09523809523809523,0.44000000000000056,0.45890410958904104,0.44680851063829785,0.4014084507042255,0.36305732484076386,0.3529411764705883,0.3827493261455526,0.36666666666666664,0.35849056603773577,0.37988826815642457,-0.1442774827703084,-0.13445187620451196,-0.09884205650764241,-0.08478846320910434,-0.09456140350877194,0.25959851094794617,0.3482336100936976,0.5046721469198068,0.5482071746740578,0.5692862090247268,23.0,23.0,20.0,20.0,21.0,2,2,2,2,2
IL,0.31981868784980444,0.3103660981610723,0.3001581924734054,0.2890192058199354,0.2847972916493478,-0.846153846153846,-0.7804878048780487,-0.725,-0.5434782608695654,-0.45238095238095244,0.7066666666666672,0.7191780821917804,0.7163120567375886,0.6971830985915496,0.5859872611464965,0.14833759590792842,0.1778975741239893,0.13333333333333336,0.14285714285714277,0.15363128491620112,-0.33826686250141225,-0.3577825643351094,-0.28967114404817046,-0.23090956476413868,-0.23535087719298242,-0.022067489434326487,0.1390089699675773,0.13513243849615691,0.2848340369310302,0.3491537393415788,34.0,28.0,35.0,28.0,27.0,2,2,2,2,2
IN,0.1292556927850857,0.12224712617729706,0.12099019905855836,0.117957498908581,0.11765035110140748,-0.6346153846153846,-0.4878048780487804,-0.3750000000000001,-0.26086956521739135,-0.23809523809523814,0.6133333333333335,0.6164383561643832,0.6028368794326243,0.4999999999999995,0.4522292993630573,0.1969309462915601,0.23450134770889489,0.21111111111111105,0.19407008086253366,0.2374301675977654,-0.29544684216472716,-0.31107584174129915,-0.2553960166743863,-0.23412388150464775,-0.2304385964912281,-0.04613882136070438,0.09438844748640202,0.3045421729279073,0.3969517958231686,0.3943725504663358,35.0,33.0,29.0,25.0,25.0,2,2,2,2,2
IA,0.06183124719420462,0.06099101659120946,0.0587791319269193,0.05599794735309782,0.05482602277104557,-0.28846153846153844,-0.2439024390243902,-0.17500000000000004,-0.1521739130434783,-0.023809523809523836,0.8533333333333332,0.890410958904109,0.8936170212765957,0.8521126760563374,0.8535031847133758,0.31969309462915596,0.3638814016172508,0.33333333333333326,0.3261455525606468,0.34357541899441346,-0.17139306293074227,-0.18920757283754677,-0.15646132468735524,-0.1460342281296152,-0.1492982456140351,0.8211500668264204,0.8493125780541882,0.954268161849493,0.9689088219934326,1.0326498639932684,3.0,5.0,7.0,7.0,5.0,1,1,1,1,1
KS,0.052278625500179886,0.05140649126191147,0.051819002894710996,0.050116867985553724,0.0494613364191241,-0.3461538461538461,-0.34146341463414637,-0.275,-0.282608695652174,-0.23809523809523814,0.6,0.6095890410958904,0.5815602836879427,0.5422535211267606,0.5414012738853508,0.0895140664961637,0.10242587601078171,0.07222222222222216,0.09973045822102423,0.08379888268156425,-0.3726132640379618,-0.3171975966443713,-0.2567855488652154,-0.23620884371470768,-0.2192982456140351,0.1120266902992137,0.11571821226084228,0.17381595993966042,0.16232549279568054,0.1282669007820878,26.0,32.0,32.0,38.0,38.0,2,2,2,3,3
KY,0.06850015133180577,0.06605450861294539,0.06450185558169254,0.062240831212134494,0.06062343381778733,-0.7307692307692307,-0.6097560975609755,-0.5499999999999999,-0.5434782608695654,-0.45238095238095244,0.8066666666666672,0.8150684931506849,0.8085106382978721,0.7676056338028171,0.656050955414013,0.07672634271099746,0.0970350404312669,0.07222222222222216,0.09703504043126679,0.10335195530726256,-0.11964749745791436,-0.12526924384990362,-0.10338119499768411,-0.08748153939709842,-0.0987719298245614,-0.0016380985407107723,0.23345754588895534,0.29185352110410273,0.3055968600746172,0.37198799335658517,31.0,26.0,30.0,27.0,26.0,2,2,2,2,2
LA,0.09269406770453546,0.08757203045031504,0.08297748652048345,0.08131041968574675,0.0790560329559761,-0.7115384615384616,-0.8536585365853657,-0.7999999999999999,-0.5869565217391304,-0.5952380952380955,0.6533333333333331,0.623287671232877,0.45390070921985776,0.3450704225352116,0.29299363057324823,0.2608695652173913,0.32075471698113217,0.25833333333333336,0.2830188679245283,0.2849162011173184,-0.4872895717997966,-0.4939349280126969,-0.40852246410375176,-0.36634523499261584,-0.3625438596491228,-0.4034784217924822,-0.5043424506679266,-0.41331093503007715,-0.05553864185207141,-0.08926873553119158,44.0,48.0,48.0,43.0,45.0,3,3,3,3,3
ME,0.011281574806264367,0.01086902753583826,0.010905711088191798,0.010811623363852928,0.010926908251346932,-0.5576923076923076,-0.39024390243902446,-0.22499999999999998,-0.2173913043478261,-0.23809523809523814,0.6600000000000004,0.6575342465753427,0.6170212765957441,0.5915492957746482,0.5923566878980894,0.49872122762148335,0.5256064690026956,0.5138888888888888,0.5175202156334231,0.5307262569832404,-0.0,-0.0,-0.0,-0.010511684475718874,-0.021929824561403508,0.554742387433883,0.7191829520291662,0.9168158765728248,0.9765610345940651,0.9315528977775924,14.0,8.0,8.0,6.0,8.0,1,1,1,1,1
MD,0.1395027132356516,0.13702189725689576,0.13786769712486488,0.1342132359920895,0.12969883355899992,-0.596153846153846,-0.5609756097560974,-0.4,-0.41304347826086957,-0.3571428571428572,0.7800000000000001,0.7739726027397263,0.7446808510638301,0.725352112676056,0.7133757961783438,0.5933503836317137,0.6253369272237198,0.6083333333333334,0.5902964959568733,0.6145251396648046,-0.4037961812224607,-0.43385103729735863,-0.33135710977304306,-0.29467465902180523,-0.30298245614035085,0.5682673467846031,0.5970202371119224,0.7595247717489853,0.6866282503973075,0.7421101788253959,12.0,17.0,12.0,15.0,13.0,1,1,1,1,1
MA,0.18977533779523165,0.18852186738038162,0.18592595328114064,0.1810765702713475,0.18108079048955572,-0.5769230769230769,-0.4878048780487804,-0.25,-0.30434782608695654,-0.2142857142857143,1.0,1.0,1.0,1.0,1.0,0.21227621483375964,0.2398921832884098,0.20833333333333334,0.22102425876010778,0.22905027932960895,-0.257936956276127,-0.26493594830518086,-0.23779527559055116,-0.2370775779688993,-0.2565789473684211,0.5853235928333427,0.6846636701228097,0.9064640110239227,0.8516849791676199,0.9211343347614741,11.0,12.0,9.0,10.0,9.0,1,1,1,1,1
MI,0.18202738282319858,0.17811542384573173,0.17632664942016504,0.17046905527222872,0.16764377295917968,-0.8653846153846153,-0.6341463414634146,-0.525,-0.47826086956521735,-0.40476190476190477,0.8199999999999998,0.8424657534246578,0.8014184397163122,0.7746478873239435,0.6815286624203819,0.3938618925831203,0.4285714285714287,0.3888888888888888,0.4070080862533693,0.4217877094972067,-0.3847022935261552,-0.3733136832558666,-0.31208893006021304,-0.2584484406220137,-0.2864035087719298,0.13355563058424197,0.4671766153376163,0.5295450479651531,0.5899316844472313,0.5920414672542398,25.0,19.0,19.0,18.0,19.0,2,2,2,2,2
MN,0.12804710376584455,0.12446418364290644,0.12283669689729429,0.11909365337822132,0.11817632512266162,-0.28846153846153844,-0.21951219512195128,-0.25,-0.2173913043478261,-0.11904761904761907,0.8933333333333338,0.8835616438356163,0.8794326241134749,0.8802816901408449,0.834394904458599,0.04859335038363168,0.045822102425876,0.027777777777777776,0.03234501347708893,0.053072625698324084,-0.123375889729974,-0.1350187053622038,-0.10921723019916628,-0.10824428807227869,-0.11096491228070175,0.6160881831805274,0.7093344040666103,0.6708298685893807,0.6960673899296838,0.8176795000620339,8.0,10.0,14.0,14.0,11.0,1,1,1,1,1
MS,0.032046186626515975,0.030649974974057363,0.029955193513342485,0.028715572063124584,0.02735895068627488,-0.923076923076923,-0.8780487804878049,-0.725,-0.5869565217391304,-0.5714285714285715,0.3600000000000004,0.36301369863013755,0.34042553191489355,0.31690140845070414,0.29299363057324823,0.20971867007672634,0.2398921832884098,0.21388888888888888,0.22102425876010778,0.23184357541899445,-0.17399163936278386,-0.1537240675660356,-0.1460861509958314,-0.13708626531144125,-0.15412280701754388,-0.5203163374757083,-0.4465594036143768,-0.28681653667870644,-0.10905913532349404,-0.14834259002835373,47.0,45.0,45.0,44.0,46.0,3,3,3,3,3
MO,0.11098008871255334,0.10733074095741531,0.10410772910670113,0.1005757674958638,0.0980805883824002,-0.6538461538461537,-0.5365853658536585,-0.42499999999999993,-0.30434782608695654,-0.19047619047619058,0.5533333333333331,0.568493150684932,0.5390070921985813,0.5070422535211269,0.4777070063694271,0.2659846547314578,0.32614555256064687,0.2833333333333333,0.29649595687331537,0.282122905027933,-0.43995028810303916,-0.46548010429656506,-0.3675775822139879,-0.32959777604030926,-0.29885964912280705,-0.0818958028590473,0.0446858094578898,0.1338705724246279,0.22538654035792116,0.2869720978679614,36.0,35.0,36.0,35.0,32.0,3,2,3,2,2
MT,0.00669778643825231,0.006990707035089632,0.006265889122136684,0.0065318159623010815,0.006502682003652773,-0.3846153846153846,-0.34146341463414637,-0.29999999999999993,-0.32608695652173914,-0.30952380952380965,0.6400000000000006,0.568493150684932,0.5815602836879427,0.3802816901408454,0.34394904458598696,0.28388746803069054,0.3099730458221025,0.2944444444444444,0.28571428571428564,0.28770949720670397,-0.3038074793808609,-0.2871556512867022,-0.2316813339509032,-0.2011988532707845,-0.19815789473684212,0.05558304887871654,0.13032441498528982,0.3505892833036206,0.2717554046608943,0.31705886112967335,27.0,30.0,27.0,29.0,30.0,2,2,2,2,2
NE,0.035482484444950384,0.03533960523595441,0.034689950350667506,0.03382601323741908,0.033393033305522395,-0.11538461538461531,-0.048780487804878085,-0.050000000000000044,-0.10869565217391305,-0.09523809523809523,0.6133333333333335,0.6027397260273977,0.5460992907801413,0.647887323943662,0.6242038216560513,0.09207161125319689,0.12668463611859837,0.07499999999999998,0.10781671159029649,0.10893854748603359,-0.20099423793921586,-0.21675546990137173,-0.16007410838351088,-0.13630440448266876,-0.15228070175438596,0.5009595364480339,0.6059587484823661,0.4457151327472978,0.4377992533081303,0.4425656447147416,16.0,16.0,22.0,24.0,23.0,1,1,2,2,2
